אפגניסטן,,,,,,,,,,,,,,,,,,,,x,,,,AF,af
אלבניה,,,,,,,,,,,x,,,,,,,,,,,,,AL,al
אלג'יריה,,,,x,,,,,,,,,,,,,,,,x,,,,DZ,dz
סמואה האמריקנית,,x,,,,,,,,,,,,,,,,,,,,,,AS,as
איי הבתולה,,x,,,,,,,,,,,,,,,,,,,,,,VI,vi
אנדורה,,,,x,x,,,,,,,,,,,,,,,,,,,AD,ad
אנגולה,,,,,,,,,,,,,,x,,,,,,,,,,AO,ao
אנגילה,,x,,,,,,,,,,,,,,,,,,,,,,AI,ai
אנטיגואה וברבודה,,x,,,,,,,,,,,,,,,,,,,,,,AG,ag
ארגנטינה,,,,,x,,,,,,,,,,,,,,,,,,,AR,ar
ארמניה,,,,,,,x,,,,,,,,,,,,,,,,,AM,am
ארובה,,x,,,,,,,,,,x,,,,,,,,,,,,AW,aw
אוסטרליה,,x,,,,,,,,,,,,,,,,,,,,,,AU,au
אזרבייג'אן,,,,,,,x,,,,,,,,,,,,,,,,,AZ,az
איי בהמה,,x,,,,,,,,,,,,,,,,,,,,,,BS,bs
בחריין,,,,,,,,,,,,,,,,,,,,x,,,,BH,bh
בנגלדש,,,,,,,,,,,,,,,,,,,,,,,,BD,bd
ברבדוס,,x,,,,,,,,,,,,,,,,,,,,,,BB,bb
בלגיה,,,x,x,,,,,,,,x,,,,,,,,,,,,BE,be
בליז,,x,,,x,,,,,,,,,,,,,,,,,,,BZ,bz
בלארוס,,,,,,,x,,,,,,,,,,,,,,,,,BY,by
בנין,,,,x,,,,,,,,,,,,,,,,,,,,BJ,bj
ברמודה,,x,,,,,,,,,,,,,,,,,,,,,,BM,bm
בהוטן,,,,,,,,,,,,,,,,,,,,,,,,BT,bt
בוליביה,,,,,x,,,,,,,,,,,,,,,,,,,BO,bo
בוסניה והרצגובינה,,,,,,,,x,,,,,,,,,,,,,,,,BA,ba
בוטסואנה,,x,,,,,,,,,,,,,,,,,,,,,,BW,bw
ברזיל,,,,,,,,,,,,,,x,,,,,,,,,,BR,br
איי הבתולה הבריטיים,,x,,,,,,,,,,,,,,,,,,,,,,VG,vg
ברוניי,,x,,,,,,,,,,,,,,,,,,,,x,,BN,bn
בולגריה,,,,,,,,,,,,,x,,,,,,x,,,,,BG,bg
בורקינה פאסו,,,,x,,,,,,,,,,,,,,,,,,,,BF,bf
בורונדי,,,,x,,,,,,,,,,,,,,,,,,,,BI,bi
איי קוק,,x,,,,,,,,,,,,,,,,,,,,,,CK,ck
צ'אד,,,,x,,,,,,,,,,,,,,,,x,,,,TD,td
מונטנגרו,,,,,,,,,x,,,,,,,,,,,,,,,ME,me
הרפובליקה הצ'כית,x,,,,,,,,,,,,,,,,,,,,,,,CZ,cz
סין,,x,,,,,,,,,,,,,,,,,,,,x,,CN,cn
דנמרק,,,x,,,,,,,,,,,,x,,,,,,,,,DK,dk
הרפובליקה הדמוקרטית של קונגו,,,,x,,,,,,,,,,,,,,,,,,,,CD,cd
דומיניקה,,x,,,,,,,,,,,,,,,,,,,,,,DM,dm
הרפובליקה הדומיניקנית,,x,,,x,,,,,,,,,,,,,,,,,,,DO,do
ג'יבוטי,,,,x,,,,,,,,,,,,,,,,x,,,,DJ,dj
מצרים,,,,,,,,,,,x,,,,,,,,,x,,,,EG,eg
אקוודור,,,,,x,,,,,,,,,,,,,,,,,,,EC,ec
אריתריאה,,x,,,,,,,,,,,,,,,,,,x,,,,ER,er
אסטוניה,,,,,,,x,,,,,,,,,,,,,,,,,EE,ee
אתיופיה,,x,,,,,,,,,,,,,,,,,,,,,,ET,et
איי פארו,,,,,,,,,,,,,,,x,,,,,,,,,FO,fo
איי פוקלנד,,x,,,,,,,,,,,,,,,,,,,,,,FK,fk
מיקרונזיה,,x,,,,,,,,,,,,,,,,,,,,,,FM,fm
פיג'י,,x,,,,,,,,,,,,,,,,,,,,,,FJ,fj
בפיליפינים,,x,,,x,,,,,,,,,,,,,,,,,x,,PH,ph
