Zajímá vás, kde všude se domluvíte?	Vil du gerne vide, hvor man taler hvilket sprog?		Does it interest you to know everywhere you can speak?	¿Le interesa saber dónde puede usted comunicarse?	Ça vous interesse de savoir où partout vous pouvez parler?	Zanima vas gdje svugdje se možete sporazumjeti?	Vi interessa sapere tutti i paesi nei quali potete comunicare?	Kíváncsi arra, hogy hol mindenütt beszélhet ezzel?	Wilt u weten waar u zich allemaal verstaanbaar kan maken?	Er du interessert i å kikke på alle stedene hvor du kan snakke med hjelp av vår Reiseordbok?	Interesuje Was, jakie języki obowiązują w krajach, do których jedziecie?	Interessa-lhe saber todos os locais onde pode falar?	Haluatko tietää, missä kaikkialla voit puhua vierasta kieltä?	Intresserar det dig, vart överallt du kan göra dig förstådd?	Seyahat konuşma kılavuzu praktik etme	Αναρωτιέστε που θα συνεννοηθείτε;	Искате да знаете, къде навсякъде ще се разберете?	Вас интересует, где Вы сможете договориться?	אתם מתעניינים היכן תוכלו לתקשר ולדבר?	تتسألون أين تستطيعون أن تتحدثوا و تتفاهموا باللغة الأجنبية؟	对于在任何一个地方你都能够进行对话是否引起你的兴趣？	旅行会話練習
S angličtinou se sice domluvíte v 89 zemích, s němčinou v 10 a s italštinou téměř v 7 státech, ale tato Konverzace na cesty vám pomůže domluvit se prakticky kdekoliv na světě. Navíc, místní obyvatele vždy potěší, pokud se alespoň pokusíte domluvit se s nimi jejich vlastním jazykem.	Med engelskkundskab kan du tale i 89 lande, med tysk i 10 lande, og med italiensk i næsten 7 lande, men med Rejseparløren kan du faktisk tale overalt i verden. Desuden bliver lokalbefolkningen altid glade, når man i det mindste forsøger at tale med dem på deres eget sprog.	Möchten Sie wissen, wo überall Sie sich mit Reisesprachführer verständigen können?	With knowledge of English one can speak in 89 countries, with German in 10 countries, and with Italian in 7 countries. However, the Traveler’s phrasebook enables you to speak anywhere in the world – and locals are always pleased when you attempt to communicate in their own language.	La verdad es que puede usted comunicarse en inglés en 89 países, en alemán en 10 y en italiano en casi 7, pero este Diccionario de viaje le ayuda a comunicarse prácticamente por todas las partes del mundo. Además, usted va a alegrar a los nativos si, por lo menos, trata de comunicarse con ellos en su propia lengua materna.	Avec l´anglais certainement vous parlez dans 89 pays, avec l'allemand dans 10 et avec l'italien dans près de 7 Etats, mais Conversation de voyage vous aide à parler pratiquement n'importe où dans le monde. En plus, les résidents locaux sont toujours heureux lorsqu´au moins vous essayer de communiquer avec eux dans leur propre langue.	Engleskim jezikom se možete dogovoriti u 89 zemalja, njemačkim u 10 te talijanskim skoro u 7 zemalja, ali ovaj Priručnik za konverzaciju pomoći će vam da se dogovorite praktično bilo gdje na svijetu. Štoviše, mjesno stanovništvo uvijek će biti obradovano, ukoliko se barem pokušate sporazumjeti na njihovom vlastitom jeziku.	E’ vero che potete comunicare in inglese in 89 paesi, in tedesco in 10 e in italiano quasi in 7 stati, ma Conversazione da Viaggio vi aiuta a comunicare in qualsiasi parte del mondo. Per di più la popolazione locale è sempre lieta se almeno provate a comunicare nella loro lingua.	Angol nyelven megérteti magát 89 országban, német nyelven 10 országban és olasz nyelven 7 országban, de az Útiszótár segít boldogulni gyakorlatilag bárhol a világon. Ezen kívül a helyi lakosok mindig örömmel veszik, ha legalább megpróbál kommunikálni az ő saját nyelvükön.	Met het Engels kunt u wel in 89, met het Duits in 10 en met het Italiaans in bijna 7 landen geholpen worden, maar deze Conversatiegids helpt u om zich praktisch overal in de wereld verstaanbaar maken. Bovendien zijn de plaatselijke inwoners er altijd blij mee, als u alleen tracht in hun eigen taal met hen te spreken.	Selv om man kan bruke engelsk i 89 land, tysk i 10 land og italiensk i nesten 7 land, vår Reiseordbok kan hjelpe deg å kommunisere faktisk i hvert land, i hele verden. I tillegg, lokalt folk vil alltid vurdere din vennlig imøtekommenhet, når du forsøker å snakke med dem på deres eget språk.	Komunikacja w języku angielskim przebiega prawie w 89 krajach, w języku niemieckim w 10 a we włoskim prawie w 7. Rozmówki turystyczne pomogą Wam porozumieć się w każdym zakątku świata. W dodatku lokalnym mieszkańcom sprawi dużą przyjemność, jeśli chociaż postaracie się konwersować z nimi w ich rodzimym języku.	Com certeza com o Inglês é possível falar em 89 países, com Alemão em 10 e com Italiano em 7, mas Conversação para viagens ajuda a falar praticamente em todo o mundo. Além disso, os habitantes locais ficam sempre contentes quando você tenta ao menos falar com eles na sua própria língua.	Englannilla tulet toimeen 89:ssä maassa, saksalla 10:ssä ja italialla 7:ssä maassa, mutta tämän Matkasanakirjan avulla pystyt puhumaan käytännöllisesti katsoen missä tahansa. Ja lisäksi paikalliset ihmiset aina pitävät siitä, että ulkomaalainen ainakin yrittää puhua heidän omalla kielellään.	Med engelska kan ni göra er förstådda i 89 länder, men tyska i 10 och med italienska i nästan 7 länder, men denna Resekonversation hjälper er att kunna prata nästan överallt i värden. Dessutom blir de lokala invånade glada om ni försöker prata med dem på deras egna språk.	Şüphesiz, İngilizce ile 89 ülkede, Almanca ile 10 ülkede, İtalyanca ile 7 ülkede konuşabilirsiniz, ancak Seyahat konuşma kılavuzu dünyanın hemen hemen her yerinde konuşmanıza yardımcı olur. Ayrıca, en azından onlarla kendi dilinde konuşmaya çalıştığınızda yerel halkta her zaman mutluluk duyar.	Με την αγγλική γλώσσα μπορείτε να συνεννοηθείτε σε περισσότερες από 89 χώρες, με τα γερμανικά σε 10 και με τα ιταλικά περίπου σε 7 χώρες, αλλά με τις συγκεκριμένες χρήσιμες ταξιδιωτικές φράσεις μπορείτε να επικοινωνήσετε σε ολόκληρο τον κόσμο. Επιπλέον, οι ντόπιοι κάτοικοι θα χαρούν όταν θα προσπαθείτε να επικοινωνήσετε με τη δική τους γλώσσα.	На английски ще се разберете в 89 страни, на немски в 10, а на италиански в 7 страни, но този Пътнически разговорник ще ви помогне да се разберете практически където и да е по света. В повече, местните жители винаги са доволни, когато дори се опитате да се разбирате с тях на техния собствен език.	К примеру, по-английски Вы можете договориться в 89-ти странах, по-немецки - в десяти, по-итальянски — только в семи, а наш Разговорник для путешествий Вам поможет договориться практически в любом месте мира. Более того, местные жители всегда будут рады если Вы хотя бы попытаетесь договориться с ними на их языке.	ידע באנגלית מאפשר לתקשר ב-89 מדינות, ידע בגרמנית ב-10 מדינות, וידע באיטלקית ב-7 מדינות. אולם, השיחון לתייר מאפשר לכם לתקשר כמעט בכל מקום בעולם. בנוסף לכך, המקומיים תמיד שמחים מכך שאתם מנסים לדבר איתם בשפתם.	عل الرغم من أنه يمكنك أن تتكلم باللغة الإنكليزية في 89 دولة و باللغة الألمانية في 10 دول و باللغة الإيطالية في 7 دول إلا أن هذه العبارات المستخدمة في السفر ستساعدك عملياً على التحدث في جميع أنحاء العالم. بالإضافة إلى أن سكان البلد المحليين سيسعدون دائماً لو أنك حاولت على الأقل التكلم معهم بلغتهم المحلية.	掌握英语，你可以在89个国家使用；掌握德语，你可以在10个国家使用；意大利语，7个国家。但是有了旅行常用会话指南，你可以在世界任何一个国家自由旅行。至少，当你尝试与当地人说他们自己的语言时，他们总是会很高兴。	もちろん、英語だけであなたは89カ国で話すことができますし、ドイツ語で10カ国、イタリア語では7カ国で話すことができます。しかし、旅行会話はあなたが世界のどの国でも、実用的なコミュニケーションができるよう助けてくれます。もちろん、現地の人々にはあなたが何か一つでも彼らの言葉で話そうとすることが大きな喜びでしょう。
Jazyky	Sprog	Sprache	Language	Lengua	Langue	Jezik	Lingue	Nyelv	Taal	Språk	Jezyk	Língua	Kieli	Språk	Dil	Γλώσσα	Език	Язык	שפה	اللغة	语言	言語
Angličtina	Engelsk	Englisch	English	Inglés	Anglais	Engleski jezik	Inglese	Angol	Engels	Engelsk	Język angielski	Inglês	Englanti	Engelska	İngilizce	Αγγλική	Английски	Английский	שפה אנגלית	الإنجليزية	英语	英語
Arabština	Arabisk	Arabisch	Arabic	Árabe	Arabe	Arapski jezik	Arabo	Arab	Arabisch	Arabisk	Język arabski	Arábico	Arabia	Arabiska	Arapça	Αραβική	Арабски	Арабский	ערבית	العربية	阿拉伯语	アラブ語
Bulharština	Bulgarsk	Bulgarisch	Bulgarian	Búlgaro	Bulgare	Bugarski jezik	Bulgaro	Bolgár	Bulgaars	Bulgarsk	Język bułgarski	Búlgaro	Bulgaria	Bulgariska	Bulgarca	Βουλγάρικη	български	Болгарский	בולגרית	البلغارية	保加利亚语	ブルガリア語
Čínština	Kinesisk	Chinesish	Chinese	Chino	Chinois	Kineski jezik	Cinese	Kínai	Chinees	Kinesisk	Język chiński	Chinês	Kiina	Kinesiska	Çince	Κινέζικη	Китайски	Китайский	סינית	الصينية	中国	中国語
Dánština	Dansk	Dänisch	Danish	Danés	Danois	Danski jezik	Danese	Dán	Deens	Dansk	Język duński	Dinamarquês	Tanska	Danska	Danimarkaca	Δανέζικη	Датски	Датский	דנית	الدانماركية	丹麦语	デンマーク語
Finština	Finsk	Finnisch	Finnish	Finés	Finnois	Finski jezik	Finlandese	Finn	Fins	Finsk	Język fiński	Finlandês	Suomalainen	Finska	Fince	Φινλανδική	Фински	Финский	פינית	الفنلندية	芬兰语	フィンランド語
Francouzština	Fransk	Französisch	French	Francés	Français	Francuski jezik	Francese	Francia	Frans	Fransk	Język francuski	Francês	Ranska	Franska	Fransızca	Γαλλική	Френски	Французский	צרפתית	الفرنسية	法语	フランス語
Hebrejština	Hebraisk	Hebräisch	Hebrew	Hebreo	Hébreu	Hebrejski jezik	Ebraico	Héber	Hebreeuws	Hebraisk	Język hebrajski	Hebraico	Heprea	Hebreiska	İbranice	Εβραϊκή	Иврит	Иврит	עברי	العبرية	希伯来语	ヘブライ語
Holandština	Nederlandsk	Niederländisch	Dutch	Neerlandés	Néerlandais	Nizozemski jezik	Olandese	Holland	Nederlands	Nederlandsk	Język niderlandzki	Neerlandês	Hollanti	Nederländska	Hollandaca	Ολλανδική	Нидерландски	Нидерландский	הולנדית	الهولندية	荷兰语	オランダ語
Chorvatština	Kroatisk	Kroatisch	Croatian	Croata	Croate	Hrvatski	Croato	Horvát	Kroatisch	Kroatisk	Język chorwacki	Croata	Kroatia	Kroatiska	Hırvatça	Κροατική	Хърватски	Хорватский	קרואטית	الكرواتية	克罗地亚语	クロアチア語
Italština	Italiensk	Italienisch	Italian	Italiano	Italien	Talijanski jezik	Italiano	Olasz	Italiaans	Italiensk	Język włoski	Italiano	Italia	Italienska	İtalyanca	Ιταλική	Италиански	Итальянский	איטלקית	الإيطالية	意大利语	イタリア語
Japonština	Japansk	Japanisch	Japanese	Japonés	Japonais	Japanski jezik	Giapponese	Japán	Japanees	Japansk	Język japoński	Japonês	Japani	Japanska	Japonca	Γιαπωνέζικη	Японски	Японский	יפנית	اليابانية	日语	日本の
Maďarština	Ungarsk	Ungarisch	Hungarian	Húngaro	Hongrois	Mađarski jezik	Ungherese	Magyar	Hongaars	Ungarsk	Język węgierski	Hungaro	Unkari	Ungerska	Macarca	Ουγγρική	Унгарски	Венгерский	הונגרית	اليابانية	匈牙利语	ハンガリー語
Němčina	Tysk	Deutsch	German	Alemán	Allemand	Njemački jezik	Tedesco	Német	Duits	Tysk	Język niemiecki	Alemão	Saksa	Tyska	Almanca	Γερμανική	Немски	Немецкий	גרמנית	الألمانية	德语	ドイツ語
Norština	Norsk	Norwegisch	Norwegian	Noruego	Norvégien	Norveški jezik	Norvegese	Norvég	Noors	Norsk	Język norweski	Norueguês	Norja	Norska	Norveççe	Νορβηγική	Норвежки	Норвежский	נורבגית	النرويجية	挪威语	ノルウェー語
Polština	Polsk	Polnisch	Polish	Polaco	Polonais	Poljski jezik	Polacco	Lengyel	Pools	Polsk	Język polski	Polaco	Puola	Polska	Polonyaca	Πολωνική	Полски	Польский	פולנית	البولندية	波兰语	ポーランド語
Portugalština	Portugisisk	Portugiesisch	Portuguese	Portugués	Portugais	Portugalski jezik	Portoghese	Portugál	Portugees	Portugisisk	Język portugalski	Português	Portugali	Portugisiska	Portekizce	Πορτογαλική	Португалски	Португальский	פורטוגזית	البرتغالية	葡萄牙语	ポルトガル語
Ruština	Russisk	Russisch	Russian	Ruso	Russe	Ruski jezik	Russo	Orosz	Russisch	Russisk	Język rosyjski	Russo	Venäjä	Rysska	Rusça	Ρωσική	Руски	русский	רוסית	الروسية	俄语	ロシア語
Řečtina	Græsk	Griechisch	Greek	Griego	Grec	Grčki jezik	Greco	Görög	Grieks	Gresk	Język grecki	Grego	Kreikka	Grekiska	Yunanca	ελληνικά	Гръцки	Греческий	יוונית	اليونانية	希腊语	ギリシャ語
Španělština	Spansk	Spanisch	Spanish	Español	Espagnol	Španjolski jezik	Spagnolo	Spanyol	Spaans	Spansk	Język hiszpański	Espanhol	Espanja	Spanska	İspanyolca	Ισπανική	Испански	Испанский	ספרדית	الأسبانية	西班牙语	スペイン語
