Афганистан,,,,,,,,,,,,,,,,,,,,x,,,,AF,af
Албания,,,,,,,,,,,x,,,,,,,,,,,,,AL,al
Алжир,,,,x,,,,,,,,,,,,,,,,x,,,,DZ,dz
Американска Самоа,,x,,,,,,,,,,,,,,,,,,,,,,AS,as
Американски Вирджински острови,,x,,,,,,,,,,,,,,,,,,,,,,VI,vi
Андора,,,,x,x,,,,,,,,,,,,,,,,,,,AD,ad
Ангола,,,,,,,,,,,,,,x,,,,,,,,,,AO,ao
Ангуила,,x,,,,,,,,,,,,,,,,,,,,,,AI,ai
Антигуа и Барбуда,,x,,,,,,,,,,,,,,,,,,,,,,AG,ag
Аржентина,,,,,x,,,,,,,,,,,,,,,,,,,AR,ar
Армения,,,,,,,x,,,,,,,,,,,,,,,,,AM,am
Аруба,,x,,,,,,,,,,x,,,,,,,,,,,,AW,aw
Австралия,,x,,,,,,,,,,,,,,,,,,,,,,AU,au
Азербайджан,,,,,,,x,,,,,,,,,,,,,,,,,AZ,az
Бахамски острови,,x,,,,,,,,,,,,,,,,,,,,,,BS,bs
Бахрейн,,,,,,,,,,,,,,,,,,,,x,,,,BH,bh
Бангладеш,,,,,,,,,,,,,,,,,,,,,,,,BD,bd
Барбадос,,x,,,,,,,,,,,,,,,,,,,,,,BB,bb
Белгия,,,x,x,,,,,,,,x,,,,,,,,,,,,BE,be
Белиз,,x,,,x,,,,,,,,,,,,,,,,,,,BZ,bz
Беларус,,,,,,,x,,,,,,,,,,,,,,,,,BY,by
Бенин,,,,x,,,,,,,,,,,,,,,,,,,,BJ,bj
Бермудски острови,,x,,,,,,,,,,,,,,,,,,,,,,BM,bm
Бутан,,,,,,,,,,,,,,,,,,,,,,,,BT,bt
Боливия,,,,,x,,,,,,,,,,,,,,,,,,,BO,bo
Босна и Херцоговина,,,,,,,,x,,,,,,,,,,,,,,,,BA,ba
Ботсвана,,x,,,,,,,,,,,,,,,,,,,,,,BW,bw
Бразилия,,,,,,,,,,,,,,x,,,,,,,,,,BR,br
