Αφγανιστάν,,,,,,,,,,,,,,,,,,,,x,,,,AF,af
Αλβανία,,,,,,,,,,,x,,,,,,,,,,,,,AL,al
Αλγερία,,,,x,,,,,,,,,,,,,,,,x,,,,DZ,dz
Αμερικανική Σαμόα,,x,,,,,,,,,,,,,,,,,,,,,,AS,as
Αμερικανικές Παρθένες Νήσοι,,x,,,,,,,,,,,,,,,,,,,,,,VI,vi
Ανδόρα,,,,x,x,,,,,,,,,,,,,,,,,,,AD,ad
Αγκόλα,,,,,,,,,,,,,,x,,,,,,,,,,AO,ao
Ανγκουίλα,,x,,,,,,,,,,,,,,,,,,,,,,AI,ai
Αντίγκουα και Μπαρμπούντα,,x,,,,,,,,,,,,,,,,,,,,,,AG,ag
Αργεντινή,,,,,x,,,,,,,,,,,,,,,,,,,AR,ar
Αρμενία,,,,,,,x,,,,,,,,,,,,,,,,,AM,am
Αρούμπα,,x,,,,,,,,,,x,,,,,,,,,,,,AW,aw
Αυστραλία,,x,,,,,,,,,,,,,,,,,,,,,,AU,au
Αζερμπαϊτζάν,,,,,,,x,,,,,,,,,,,,,,,,,AZ,az
Μπαχάμας,,x,,,,,,,,,,,,,,,,,,,,,,BS,bs
Μπαχρέιν,,,,,,,,,,,,,,,,,,,,x,,,,BH,bh
Μπαγκλαντές,,,,,,,,,,,,,,,,,,,,,,,,BD,bd
Μπαρμπάντος,,x,,,,,,,,,,,,,,,,,,,,,,BB,bb
Βέλγιο,,,x,x,,,,,,,,x,,,,,,,,,,,,BE,be
Μπελίζ,,x,,,x,,,,,,,,,,,,,,,,,,,BZ,bz
Λευκορωσία,,,,,,,x,,,,,,,,,,,,,,,,,BY,by
Μπενίν,,,,x,,,,,,,,,,,,,,,,,,,,BJ,bj
Βερμούδα,,x,,,,,,,,,,,,,,,,,,,,,,BM,bm
Μπουτάν,,,,,,,,,,,,,,,,,,,,,,,,BT,bt
Βολιβία,,,,,x,,,,,,,,,,,,,,,,,,,BO,bo
Βοσνία-Ερζεγοβίνη,,,,,,,,x,,,,,,,,,,,,,,,,BA,ba
Μποτσουάνα,,x,,,,,,,,,,,,,,,,,,,,,,BW,bw
Βραζιλία,,,,,,,,,,,,,,x,,,,,,,,,,BR,br
Βρετανικές Παρθένοι Νήσοι,,x,,,,,,,,,,,,,,,,,,,,,,VG,vg
Μπρουνέι,,x,,,,,,,,,,,,,,,,,,,,x,,BN,bn
Βουλγαρία,,,,,,,,,,,,,x,,,,,,x,,,,,BG,bg
Μπουρκίνα Φάσο,,,,x,,,,,,,,,,,,,,,,,,,,BF,bf
Μπουρούντι,,,,x,,,,,,,,,,,,,,,,,,,,BI,bi
Νήσοι Κουκ,,x,,,,,,,,,,,,,,,,,,,,,,CK,ck
Τσαντ,,,,x,,,,,,,,,,,,,,,,x,,,,TD,td
