Angličtina	Engelsk	Englisch	English	Inglés	Anglais	Engleski jezik	Inglese	Angol	Engels	Engelsk	Język angielski	Inglês	Englanti	Engelska	İngilizce	Αγγλική	Английски	Английский	שפה אנגלית	الإنجليزية	英语	英語
Arabština	Arabisk	Arabisch	Arabic	Árabe	Arabe	Arapski jezik	Arabo	Arab	Arabisch	Arabisk	Język arabski	Arábico	Arabia	Arabiska	Arapça	Αραβική	Арабски	Арабский	ערבית	العربية	阿拉伯语	アラブ語
Bulharština	Bulgarsk	Bulgarisch	Bulgarian	Búlgaro	Bulgare	Bugarski jezik	Bulgaro	Bolgár	Bulgaars	Bulgarsk	Język bułgarski	Búlgaro	Bulgaria	Bulgariska	Bulgarca	Βουλγάρικη	български	Болгарский	בולגרית	البلغارية	保加利亚语	ブルガリア語
Čínština	Kinesisk	Chinesish	Chinese	Chino	Chinois	Kineski jezik	Cinese	Kínai	Chinees	Kinesisk	Język chiński	Chinês	Kiina	Kinesiska	Çince	Κινέζικη	Китайски	Китайский	סינית	الصينية	中国	中国語
Dánština	Dansk	Dänisch	Danish	Danés	Danois	Danski jezik	Danese	Dán	Deens	Dansk	Język duński	Dinamarquês	Tanska	Danska	Danimarkaca	Δανέζικη	Датски	Датский	דנית	الدانماركية	丹麦语	デンマーク語
Finština	Finsk	Finnisch	Finnish	Finés	Finnois	Finski jezik	Finlandese	Finn	Fins	Finsk	Język fiński	Finlandês	Suomalainen	Finska	Fince	Φινλανδική	Фински	Финский	פינית	الفنلندية	芬兰语	フィンランド語
Francouzština	Fransk	Französisch	French	Francés	Français	Francuski jezik	Francese	Francia	Frans	Fransk	Język francuski	Francês	Ranska	Franska	Fransızca	Γαλλική	Френски	Французский	צרפתית	الفرنسية	法语	フランス語
Hebrejština	Hebraisk	Hebräisch	Hebrew	Hebreo	Hébreu	Hebrejski jezik	Ebraico	Héber	Hebreeuws	Hebraisk	Język hebrajski	Hebraico	Heprea	Hebreiska	İbranice	Εβραϊκή	Иврит	Иврит	עברי	العبرية	希伯来语	ヘブライ語
Holandština	Nederlandsk	Niederländisch	Dutch	Neerlandés	Néerlandais	Nizozemski jezik	Olandese	Holland	Nederlands	Nederlandsk	Język niderlandzki	Neerlandês	Hollanti	Nederländska	Hollandaca	Ολλανδική	Нидерландски	Нидерландский	הולנדית	الهولندية	荷兰语	オランダ語
Chorvatština	Kroatisk	Kroatisch	Croatian	Croata	Croate	Hrvatski	Croato	Horvát	Kroatisch	Kroatisk	Język chorwacki	Croata	Kroatia	Kroatiska	Hırvatça	Κροατική	Хърватски	Хорватский	קרואטית	الكرواتية	克罗地亚语	クロアチア語
Italština	Italiensk	Italienisch	Italian	Italiano	Italien	Talijanski jezik	Italiano	Olasz	Italiaans	Italiensk	Język włoski	Italiano	Italia	Italienska	İtalyanca	Ιταλική	Италиански	Итальянский	איטלקית	الإيطالية	意大利语	イタリア語
Japonština	Japansk	Japanisch	Japanese	Japonés	Japonais	Japanski jezik	Giapponese	Japán	Japanees	Japansk	Język japoński	Japonês	Japani	Japanska	Japonca	Γιαπωνέζικη	Японски	Японский	יפנית	اليابانية	日语	日本の
Maďarština	Ungarsk	Ungarisch	Hungarian	Húngaro	Hongrois	Mađarski jezik	Ungherese	Magyar	Hongaars	Ungarsk	Język węgierski	Hungaro	Unkari	Ungerska	Macarca	Ουγγρική	Унгарски	Венгерский	הונגרית	اليابانية	匈牙利语	ハンガリー語
Němčina	Tysk	Deutsch	German	Alemán	Allemand	Njemački jezik	Tedesco	Német	Duits	Tysk	Język niemiecki	Alemão	Saksa	Tyska	Almanca	Γερμανική	Немски	Немецкий	גרמנית	الألمانية	德语	ドイツ語
Norština	Norsk	Norwegisch	Norwegian	Noruego	Norvégien	Norveški jezik	Norvegese	Norvég	Noors	Norsk	Język norweski	Norueguês	Norja	Norska	Norveççe	Νορβηγική	Норвежки	Норвежский	נורבגית	النرويجية	挪威语	ノルウェー語
Polština	Polsk	Polnisch	Polish	Polaco	Polonais	Poljski jezik	Polacco	Lengyel	Pools	Polsk	Język polski	Polaco	Puola	Polska	Polonyaca	Πολωνική	Полски	Польский	פולנית	البولندية	波兰语	ポーランド語
Portugalština	Portugisisk	Portugiesisch	Portuguese	Portugués	Portugais	Portugalski jezik	Portoghese	Portugál	Portugees	Portugisisk	Język portugalski	Português	Portugali	Portugisiska	Portekizce	Πορτογαλική	Португалски	Португальский	פורטוגזית	البرتغالية	葡萄牙语	ポルトガル語
Ruština	Russisk	Russisch	Russian	Ruso	Russe	Ruski jezik	Russo	Orosz	Russisch	Russisk	Język rosyjski	Russo	Venäjä	Rysska	Rusça	Ρωσική	Руски	русский	רוסית	الروسية	俄语	ロシア語
Řečtina	Græsk	Griechisch	Greek	Griego	Grec	Grčki jezik	Greco	Görög	Grieks	Gresk	Język grecki	Grego	Kreikka	Grekiska	Yunanca	ελληνικά	Гръцки	Греческий	יוונית	اليونانية	希腊语	ギリシャ語
Španělština	Spansk	Spanisch	Spanish	Español	Espagnol	Španjolski jezik	Spagnolo	Spanyol	Spaans	Spansk	Język hiszpański	Espanhol	Espanja	Spanska	İspanyolca	Ισπανική	Испански	Испанский	ספרדית	الأسبانية	西班牙语	スペイン語
Švédština	Svensk	Schwedisch	Swedish	Sueco	Suédois	Švedski jezik	Svedese	Svéd	Zweeds	Svensk	Język szwedzki	Sueco	Ruotsi	Svenska	İsveççe	Σουηδική	Шведски	Шведский	שוודית	السويدية	瑞典语	スウェーデン語
Turečtina	Tyrkisk	Türkisch	Turkish	Turco	Turc	Turski jezik	Turco	Török	Turks	Tyrkisk	Język turecki	Turco	Turkki	Turkiska	Türk	Τουρκική	Турски	Турецкий	טורקית	التركية	土耳其语	トルコ語
Čeština	Tjekkisk	Tschechisch	Czech	Checo	Tchèque	Češki jezik	Ceco	Cseh	Tsjechisch	Tsjekkisk	Język czeski	Checo	Tšekki	Tjeckiska	Çekçe	Τσεχική	Чешки	Чешский	צ'כית	التشيكية	捷克语	チェコ語
