cs-CZ	Česky	/cs-cookies	Cookies	cookies, about cookies	About cookies.	A11: O cookies	
cs-CZ	Česky	/cestovni-konverzace	Úvod do SmartPhrase	konverzace, úvod, cestovní	Základní informace o cestovní konverzaci SmartPhrase	A1: Start	Úvod
cs-CZ	Česky	/jak-vypada-konverzace-android	Android: Jak vypadá Konverzace na cesty	ukázka, konverzace na cesty, android	Podívejte se, jak vypadá Konverzace na cesty pro operační systém Android.	A32: Náhled Android	Android
cs-CZ	Česky	/jak-vypada-konverzace-windows8	Windows 8: Jak vypadá Konverzace na cesty	ukázka, cestovní konverzace, windows 8	Podívejte se, jak vypadá Konverzace na cesty pro operační systém Windows 8.	A31: Náhled W8	Windows 8
cs-CZ	Česky	/kontakt-fraze	Kontakty	kontakt	Napište autorům Cestovní konverzace jakékoliv vaše poznatky z provozu aplikace	A8: Kontakt	
cs-CZ	Česky	/jak-vypada-konverzace	Jak vypadá Konverzace na cesty	ukázka, demo aplikace, konverzace na cesty, cestovní	Cestovní konverzace umožňuje studovat až 22 jazyků	A3: Náhled	Náhled
cs-CZ	Česky	/podpora-fraze-android	Android: Podpora a FAQ	faq, podpora, aplikace, android	Nevíte si rady s naší aplikací pro Android? Zeptejte se nás..	A42: Podpora Android	Android
cs-CZ	Česky	/podpora-fraze-windows8	Window 8: Podpora a FAQ	faq, podpora, aplikace, windows 8	Nevíte si rady s naší aplikací pro Windows 8? Zeptejte se nás..	A41: Podpora Windows8	Windows 8
cs-CZ	Česky	/podpora-fraze	Podpora a FAQ Cestovní konverzace	faq, podpora, aplikace	Máte-li potíže s aplikací, zeptejte se nás, a my vám poradíme	A4: Podpora	Podpora
cs-CZ	Česky	/uplatneni-cestovni-konverzace-staty	Použití cestovní konverzace	cestovní, použití, cizí stát, země, konverzace, jazyk	Všechny země (státy), kde se domluvíte cizím jazykem z naší Cestovní konverzace.	A5: Uplatnění	Uplatnění
cs-CZ	Česky	/jak-vypada-ipad-konverzace	Ukázka na iPhone	ukázka demo cestovní konverzace	Cestovní konverzace na iPhone či iPad umožňuje studovat až 22 jazyků	A33: Náhled iOS	iOS
cs-CZ	Česky	/podpora-fraze-iphone	iOS: Podpora a FAQ Cestovní konverzace	faq podpora aplikace iphone ipad	Máte-li potíže s aplikací na iPhone či iPad, zeptejte se nás, a my vám poradíme	A43: Podpora iOS	iOS
cs-CZ	Česky	/vlastnosti-konverzace	Vlastnosti Cestovní konverzace	vlastnost, konverzace, cestovní	Aplikace Cestovní konverzacepro mobilní zařízení obsahuje 22 jazyků	A2: Vlastnosti	Vlastnosti
cs-CZ	Česky	/cs-sitemap	Mapa webu	sitemap	Mapa webu	A10: Mapa webu	
cs-CZ	Česky	/ochranne-znamky	Ochranné známky	trademarks, trademark	About trademarks.	A12: Trademarks	
