アフガニスタン,,,,,,,,,,,,,,,,,,,,x,,,,AF,af
アルバニア,,,,,,,,,,,x,,,,,,,,,,,,,AL,al
アルジェリア,,,,x,,,,,,,,,,,,,,,,x,,,,DZ,dz
米サモア,,x,,,,,,,,,,,,,,,,,,,,,,AS,as
バージン諸島,,x,,,,,,,,,,,,,,,,,,,,,,VI,vi
アンドラ,,,,x,x,,,,,,,,,,,,,,,,,,,AD,ad
アンゴラ,,,,,,,,,,,,,,x,,,,,,,,,,AO,ao
アンギラ,,x,,,,,,,,,,,,,,,,,,,,,,AI,ai
アンチグアバーブーダ,,x,,,,,,,,,,,,,,,,,,,,,,AG,ag
アルゼンチン,,,,,x,,,,,,,,,,,,,,,,,,,AR,ar
アルメニア,,,,,,,x,,,,,,,,,,,,,,,,,AM,am
アルバ,,x,,,,,,,,,,x,,,,,,,,,,,,AW,aw
オーストラリア,,x,,,,,,,,,,,,,,,,,,,,,,AU,au
アゼルバイジャン,,,,,,,x,,,,,,,,,,,,,,,,,AZ,az
バハマ,,x,,,,,,,,,,,,,,,,,,,,,,BS,bs
バーレーン,,,,,,,,,,,,,,,,,,,,x,,,,BH,bh
バングラデシュ,,,,,,,,,,,,,,,,,,,,,,,,BD,bd
バルバドス,,x,,,,,,,,,,,,,,,,,,,,,,BB,bb
ベルギー,,,x,x,,,,,,,,x,,,,,,,,,,,,BE,be
ベリーズ,,x,,,x,,,,,,,,,,,,,,,,,,,BZ,bz
ベラルーシ,,,,,,,x,,,,,,,,,,,,,,,,,BY,by
ベナン,,,,x,,,,,,,,,,,,,,,,,,,,BJ,bj
バミューダ,,x,,,,,,,,,,,,,,,,,,,,,,BM,bm
ブータン,,,,,,,,,,,,,,,,,,,,,,,,BT,bt
ボリビア,,,,,x,,,,,,,,,,,,,,,,,,,BO,bo
ボスニアヘルツェゴビナ,,,,,,,,x,,,,,,,,,,,,,,,,BA,ba
ボツワナ,,x,,,,,,,,,,,,,,,,,,,,,,BW,bw
ブラジル,,,,,,,,,,,,,,x,,,,,,,,,,BR,br
イギリス領ヴァージン諸島,,x,,,,,,,,,,,,,,,,,,,,,,VG,vg
ブルネイ,,x,,,,,,,,,,,,,,,,,,,,x,,BN,bn
ブルガリア,,,,,,,,,,,,,x,,,,,,x,,,,,BG,bg
ブルキナファソ,,,,x,,,,,,,,,,,,,,,,,,,,BF,bf
ブルンジ,,,,x,,,,,,,,,,,,,,,,,,,,BI,bi
クック諸島,,x,,,,,,,,,,,,,,,,,,,,,,CK,ck
チャド,,,,x,,,,,,,,,,,,,,,,x,,,,TD,td
モンテネグロ,,,,,,,,,x,,,,,,,,,,,,,,,ME,me
チェコ共和国,x,,,,,,,,,,,,,,,,,,,,,,,CZ,cz
中国,,x,,,,,,,,,,,,,,,,,,,,x,,CN,cn
デンマーク,,,x,,,,,,,,,,,,x,,,,,,,,,DK,dk
コンゴ民主共和国,,,,x,,,,,,,,,,,,,,,,,,,,CD,cd
ドミニカ国,,x,,,,,,,,,,,,,,,,,,,,,,DM,dm
ドミニカ共和国,,x,,,x,,,,,,,,,,,,,,,,,,,DO,do
ジブチ共和国,,,,x,,,,,,,,,,,,,,,,x,,,,DJ,dj
エジプト,,,,,,,,,,,x,,,,,,,,,x,,,,EG,eg
エクアドル,,,,,x,,,,,,,,,,,,,,,,,,,EC,ec
エリトリア,,x,,,,,,,,,,,,,,,,,,x,,,,ER,er
エストニア,,,,,,,x,,,,,,,,,,,,,,,,,EE,ee
エチオピア,,x,,,,,,,,,,,,,,,,,,,,,,ET,et
フェロー諸島,,,,,,,,,,,,,,,x,,,,,,,,,FO,fo
フォークランド諸島,,x,,,,,,,,,,,,,,,,,,,,,,FK,fk
ミクロネシア連邦,,x,,,,,,,,,,,,,,,,,,,,,,FM,fm
フィジー,,x,,,,,,,,,,,,,,,,,,,,,,FJ,fj
フィリピン,,x,,,x,,,,,,,,,,,,,,,,,x,,PH,ph
フィンランド,,,,,,,x,,,,,,,,,x,,x,,,,,,FI,fi
フランス,,,x,,x,x,,,,,,x,,x,,x,,,,,,,,FR,fr
仏領ギアナ,,,,x,,,,,,,,,,,,,,,,,,,,GF,gf
フランス領ポリネシア,,,,x,,,,,,,,,,,,,,,,,,,,PF,pf
ガボン共和国,,,,x,,,,,,,,,,,,,,,,,,,,GA,ga
ガンビア,,x,,,,,,,,,,,,,,,,,,,,,,GM,gm
ガーナ,,x,,,,,,,,,,,,,,,,,,,,,,GH,gh
ジブラルタル,,x,,,x,,,,,,,,,,,,,,,,,,,GL,gl
グレナダ,,x,,,,,,,,,,,,,,,,,,,,,,GD,gd
グリーンランド,,,,,,,,,,,,,,,x,,,,,,,,,GL,gl
ジョージア,,,,,,,x,,,,,,,,,,,,,,,,,GE,ge
グアドループ島,,x,,x,,,,,,,,,,,,,,,,,,,,GP,gp
グアム,,x,,,,,,,,,,,,,,,,,,,,,,GU,gu
グアテマラ,,,,,x,,,,,,,,,,,,,,,,,,,GT,gt
ガーンジー,,,,,,,,,,,,,,,,,,,,,,,,GG,gg
ギニー,,,,x,,,,,,,,,,,,,,,,,,,,GN,gn
ギニアビサウ共和国,,,,,,,,,,,,,,x,,,,,,,,,,GW,gw
ガイアナ,,x,,,,,,,,,,,,,,,,,,,,,,GY,gy
ハイチ,,,,x,,,,,,,,,,,,,,,,,,,,HT,ht
ホンジュラス共和国,,x,,,x,,,,,,,,,,,,,,,,,,,HN,hn
香港,,,,,,,,,,,,,,,,,,,,,,,,HK,hk
チリ,,,,,x,,,,,,,,,,,,,,,,,,,CL,cl
クロアチア,,,,,,x,,x,,x,,,,,,x,,,,,,,,HR,hr
インド,,x,,,,,,,,,,,,,,,,,,,,,,IN,in
インドネシア,,,,,,,,,,,,,,,,,,,,,,x,,ID,id
