阿富汗,,,,,,,,,,,,,,,,,,,,x,,,,AF,af
阿尔巴尼亚,,,,,,,,,,,x,,,,,,,,,,,,,AL,al
阿尔及利亚,,,,x,,,,,,,,,,,,,,,,x,,,,DZ,dz
美属萨摩亚,,x,,,,,,,,,,,,,,,,,,,,,,AS,as
美属维尔京群岛,,x,,,,,,,,,,,,,,,,,,,,,,VI,vi
安道​​尔,,,,x,x,,,,,,,,,,,,,,,,,,,AD,ad
安哥拉,,,,,,,,,,,,,,x,,,,,,,,,,AO,ao
安圭拉,,x,,,,,,,,,,,,,,,,,,,,,,AI,ai
安提瓜和巴布达,,x,,,,,,,,,,,,,,,,,,,,,,AG,ag
阿根廷,,,,,x,,,,,,,,,,,,,,,,,,,AR,ar
亚美尼亚,,,,,,,x,,,,,,,,,,,,,,,,,AM,am
阿鲁巴,,x,,,,,,,,,,x,,,,,,,,,,,,AW,aw
澳大利亚,,x,,,,,,,,,,,,,,,,,,,,,,AU,au
阿塞拜疆,,,,,,,x,,,,,,,,,,,,,,,,,AZ,az
巴哈马,,x,,,,,,,,,,,,,,,,,,,,,,BS,bs
巴林,,,,,,,,,,,,,,,,,,,,x,,,,BH,bh
孟加拉国,,,,,,,,,,,,,,,,,,,,,,,,BD,bd
巴巴多斯,,x,,,,,,,,,,,,,,,,,,,,,,BB,bb
比利时,,,x,x,,,,,,,,x,,,,,,,,,,,,BE,be
伯利兹,,x,,,x,,,,,,,,,,,,,,,,,,,BZ,bz
白俄罗斯,,,,,,,x,,,,,,,,,,,,,,,,,BY,by
贝宁,,,,x,,,,,,,,,,,,,,,,,,,,BJ,bj
百慕大,,x,,,,,,,,,,,,,,,,,,,,,,BM,bm
不丹,,,,,,,,,,,,,,,,,,,,,,,,BT,bt
玻利维亚,,,,,x,,,,,,,,,,,,,,,,,,,BO,bo
波斯尼亚和黑塞哥维那,,,,,,,,x,,,,,,,,,,,,,,,,BA,ba
博茨瓦纳,,x,,,,,,,,,,,,,,,,,,,,,,BW,bw
巴西,,,,,,,,,,,,,,x,,,,,,,,,,BR,br
英属维尔京群岛,,x,,,,,,,,,,,,,,,,,,,,,,VG,vg
文莱,,x,,,,,,,,,,,,,,,,,,,,x,,BN,bn
保加利亚,,,,,,,,,,,,,x,,,,,,x,,,,,BG,bg
布基纳法索,,,,x,,,,,,,,,,,,,,,,,,,,BF,bf
布隆迪,,,,x,,,,,,,,,,,,,,,,,,,,BI,bi
库克群岛,,x,,,,,,,,,,,,,,,,,,,,,,CK,ck
乍得,,,,x,,,,,,,,,,,,,,,,x,,,,TD,td
黑山,,,,,,,,,x,,,,,,,,,,,,,,,ME,me
捷克共和国,x,,,,,,,,,,,,,,,,,,,,,,,CZ,cz
中国,,x,,,,,,,,,,,,,,,,,,,,x,,CN,cn
丹麦,,,x,,,,,,,,,,,,x,,,,,,,,,DK,dk
刚果民主共和国,,,,x,,,,,,,,,,,,,,,,,,,,CD,cd
多米尼克,,x,,,,,,,,,,,,,,,,,,,,,,DM,dm
多米尼加共和国,,x,,,x,,,,,,,,,,,,,,,,,,,DO,do
吉布提,,,,x,,,,,,,,,,,,,,,,x,,,,DJ,dj
埃及,,,,,,,,,,,x,,,,,,,,,x,,,,EG,eg
厄瓜多尔,,,,,x,,,,,,,,,,,,,,,,,,,EC,ec
厄立特里亚,,x,,,,,,,,,,,,,,,,,,x,,,,ER,er
爱沙尼亚,,,,,,,x,,,,,,,,,,,,,,,,,EE,ee
埃塞俄比亚,,x,,,,,,,,,,,,,,,,,,,,,,ET,et
法罗群岛,,,,,,,,,,,,,,,x,,,,,,,,,FO,fo
福克兰群岛,,x,,,,,,,,,,,,,,,,,,,,,,FK,fk
密克罗尼西亚联邦,,x,,,,,,,,,,,,,,,,,,,,,,FM,fm
斐济,,x,,,,,,,,,,,,,,,,,,,,,,FJ,fj
菲律宾,,x,,,x,,,,,,,,,,,,,,,,,x,,PH,ph
芬兰,,,,,,,x,,,,,,,,,x,,x,,,,,,FI,fi
法国,,,x,,x,x,,,,,,x,,x,,x,,,,,,,,FR,fr
法属圭亚那,,,,x,,,,,,,,,,,,,,,,,,,,GF,gf
法属波利尼西亚,,,,x,,,,,,,,,,,,,,,,,,,,PF,pf
加蓬,,,,x,,,,,,,,,,,,,,,,,,,,GA,ga
冈比亚,,x,,,,,,,,,,,,,,,,,,,,,,GM,gm
加纳,,x,,,,,,,,,,,,,,,,,,,,,,GH,gh
直布罗陀,,x,,,x,,,,,,,,,,,,,,,,,,,GL,gl
格林纳达,,x,,,,,,,,,,,,,,,,,,,,,,GD,gd
格陵兰,,,,,,,,,,,,,,,x,,,,,,,,,GL,gl
格鲁吉亚,,,,,,,x,,,,,,,,,,,,,,,,,GE,ge
瓜德罗普岛,,x,,x,,,,,,,,,,,,,,,,,,,,GP,gp
关岛,,x,,,,,,,,,,,,,,,,,,,,,,GU,gu
危地马拉,,,,,x,,,,,,,,,,,,,,,,,,,GT,gt
根西岛,,,,,,,,,,,,,,,,,,,,,,,,GG,gg
几内亚,,,,x,,,,,,,,,,,,,,,,,,,,GN,gn
几内亚比绍,,,,,,,,,,,,,,x,,,,,,,,,,GW,gw
圭亚那,,x,,,,,,,,,,,,,,,,,,,,,,GY,gy
海地,,,,x,,,,,,,,,,,,,,,,,,,,HT,ht
洪都拉斯,,x,,,x,,,,,,,,,,,,,,,,,,,HN,hn
香港,,,,,,,,,,,,,,,,,,,,,,,,HK,hk
智利,,,,,x,,,,,,,,,,,,,,,,,,,CL,cl
克罗地亚,,,,,,x,,x,,x,,,,,,x,,,,,,,,HR,hr
印度,,x,,,,,,,,,,,,,,,,,,,,,,IN,in
印尼,,,,,,,,,,,,,,,,,,,,,,x,,ID,id
伊拉克,,,,,,,,,,,,,,,,,,,,x,,,,IQ,iq
伊朗,,,,,,,,,,,,,,,,,,,,x,,,,IR,ir
爱尔兰,,x,,,,,,,,,,,,,,,,,,,,,,IE,ie
冰岛,,,,,,,,,,,,,,,,,,,,,,,,IS,is
意大利,,,x,x,,x,,x,,,x,,,,,x,,,,,,,,IT,it
以色列,,x,,,,,x,,x,x,,,,,,,,,,x,,,x,IL,il
牙买加,,x,,,,,,,,,,,,,,,,,,,,,,JM,jm
日本,,,,,,,,,,,,,,,,,,,,,x,,,JP,jp
也门,,,,,,,,,,,,,,,,,,,,x,,,,YE,ye
新泽西州,,,,,,,,,,,,,,,,,,,,,,,,JE,je
南非,,x,,,,,,,,,,,,,,,,,,,,,,ZA,za
韩国,,,,,,,,,,,,,,,,,,,,,,,,KR,kr
苏丹南部,,,,,,,,,,,,,,,,,,,,,,,,SS,ss
约旦,,,,,,,,,,,,,,,,,,,,x,,,,JO,jo
开曼群岛,,x,,,,,,,,,,,,,,,,,,,,,,KY,ky
柬埔寨,,x,,x,,,,,,,,,,,,,,,,,,,,KH,kh
喀麦隆,,x,,x,,,,,,,,,,,,,,,,x,,,,CM,cm
加拿大,,x,,x,,,x,,,,,,,,,,,,,,,,,CA,ca
佛得角,,,,,,,,,,,,,,x,,,,,,,,,,CV,cv
卡塔尔,,,,,,,,,,,,,,,,,,,,x,,,,QA,qa
哈萨克斯坦,,,,,,,x,,,,,,,,,,,,,,,,,KZ,kz
肯尼亚,,x,,,,,,,,,,,,,,,,,,,,,,KE,ke
基里巴斯,,x,,,,,,,,,,,,,,,,,,,,,,KI,ki
哥伦比亚,,,,,x,,,,,,,,,,,,,,,,,,,CO,co
科摩罗,,,,x,,,,,,,,,,,,,,,,x,,,,KM,km
科索沃,,,,,,,,,,,,,,,,,,,,,,,,XK,xk
哥斯达黎加,,,,,x,,,,,,,,,,,,,,,,,,,CR,cr
古巴,,,,,x,,,,,,,,,,,,,,,,,,,CU,cu
科威特,,,,,,,,,,,,,,,,,,,,x,,,,KW,kw
塞浦路斯,,,,,,,,,,,x,,x,,,,,,,x,,,,CY,cy
吉尔吉斯斯坦,,,,,,,x,,,,,,,,,,,,,,,,,KG,kg
老挝,,,,x,,,,,,,,,,,,,,,,,,,,LA,la
莱索托,,x,,,,,,,,,,,,,,,,,,,,,,LS,ls
黎巴嫩,,x,,x,,,,,,,,,,,,,,,,x,,,,LB,lb
利比里亚,,x,,,,,,,,,,,,,,,,,,,,,,LR,lr
利比亚,,,,,,,,,,,,,,,,,,,,x,,,,LY,ly
列支敦士登,,,x,,,,,,,,,,,,,,,,,,,,,LI,li
立陶宛,,,,,,,x,,,,,,,,,,,,,,,,,LT,lt
拉脱维亚,,,,,,,x,,,,,,,,,,,,,,,,,LV,lv
卢森堡,,,x,x,,,,,,,,,,,,,,,,,,,,LU,lu
澳门,,,,,,,,,,,,,,x,,,,,,,,,,MO,mo
马达加斯加,,,,x,,,,,,,,,,,,,,,,,,,,MG,mg
匈牙利,,,,,,,,x,,x,,,,,,,,,,,,,,HU,hu
马其顿,,,,,,,,,,,,,x,,,,,,x,,,,,MK,mk
马来西亚,,x,,,,,,,,,,,,,,,,,,,,x,,MY,my
马拉维,,x,,,,,,,,,,,,,,,,,,,,,,MW,mw
马尔代夫,,,,,,,,,,,,,,,,,,,,,,,,MV,mv
马里,,,,x,,,,,,,,,,,,,,,,x,,,,ML,ml
马耳他,,x,,,,,,,,,,,,,,,,,,,,,,MT,mt
摩洛哥,,,,,x,,,,,,,,,,,,,,,x,,,,MA,ma
马绍尔群岛,,x,,,,,,,,,,,,,,,,,,,,,,MH,mh
马提尼克岛,,,,x,,,,,,,,,,,,,,,,,,,,MQ,mq
毛里塔尼亚,,,,,,,,,,,,,,,,,,,,x,,,,MR,mr
毛里求斯,,x,,x,,,,,,,,,,,,,,,,,,,,MU,mu
