Афганистан,,,,,,,,,,,,,,,,,,,,x,,,,AF,af
Албания,,,,,,,,,,,x,,,,,,,,,,,,,AL,al
Алжир,,,,x,,,,,,,,,,,,,,,,x,,,,DZ,dz
Американское Само,,x,,,,,,,,,,,,,,,,,,,,,,AS,as
Виргинские острова США,,x,,,,,,,,,,,,,,,,,,,,,,VI,vi
Андорра,,,,x,x,,,,,,,,,,,,,,,,,,,AD,ad
Ангола,,,,,,,,,,,,,,x,,,,,,,,,,AO,ao
Ангилья,,x,,,,,,,,,,,,,,,,,,,,,,AI,ai
Антигуа и Барбуда,,x,,,,,,,,,,,,,,,,,,,,,,AG,ag
Аргентина,,,,,x,,,,,,,,,,,,,,,,,,,AR,ar
Армения,,,,,,,x,,,,,,,,,,,,,,,,,AM,am
Аруба,,x,,,,,,,,,,x,,,,,,,,,,,,AW,aw
Австралия,,x,,,,,,,,,,,,,,,,,,,,,,AU,au
Азербайджан,,,,,,,x,,,,,,,,,,,,,,,,,AZ,az
Багамы,,x,,,,,,,,,,,,,,,,,,,,,,BS,bs
Бахрейн,,,,,,,,,,,,,,,,,,,,x,,,,BH,bh
Бангладеш,,,,,,,,,,,,,,,,,,,,,,,,BD,bd
Барбадос,,x,,,,,,,,,,,,,,,,,,,,,,BB,bb
Бельгия,,,x,x,,,,,,,,x,,,,,,,,,,,,BE,be
Белиз,,x,,,x,,,,,,,,,,,,,,,,,,,BZ,bz
Белоруссия,,,,,,,x,,,,,,,,,,,,,,,,,BY,by
Бенин,,,,x,,,,,,,,,,,,,,,,,,,,BJ,bj
Бермуды,,x,,,,,,,,,,,,,,,,,,,,,,BM,bm
Бутан,,,,,,,,,,,,,,,,,,,,,,,,BT,bt
Боливия,,,,,x,,,,,,,,,,,,,,,,,,,BO,bo
Босния и Герцеговина,,,,,,,,x,,,,,,,,,,,,,,,,BA,ba
Ботсвана,,x,,,,,,,,,,,,,,,,,,,,,,BW,bw
Бразилия,,,,,,,,,,,,,,x,,,,,,,,,,BR,br
