أفغانستان,,,,,,,,,,,,,,,,,,,,x,,,,AF,af
ألبانيا,,,,,,,,,,,x,,,,,,,,,,,,,AL,al
الجزائر,,,,x,,,,,,,,,,,,,,,,x,,,,DZ,dz
ساموا الأمريكية,,x,,,,,,,,,,,,,,,,,,,,,,AS,as
الولايات المتحدة جزر العذراء,,x,,,,,,,,,,,,,,,,,,,,,,VI,vi
أندورا,,,,x,x,,,,,,,,,,,,,,,,,,,AD,ad
أنغولا,,,,,,,,,,,,,,x,,,,,,,,,,AO,ao
أنغيلا,,x,,,,,,,,,,,,,,,,,,,,,,AI,ai
أنتيغوا وبربودا,,x,,,,,,,,,,,,,,,,,,,,,,AG,ag
الأرجنتين,,,,,x,,,,,,,,,,,,,,,,,,,AR,ar
أرمينيا,,,,,,,x,,,,,,,,,,,,,,,,,AM,am
أروبا,,x,,,,,,,,,,x,,,,,,,,,,,,AW,aw
استراليا,,x,,,,,,,,,,,,,,,,,,,,,,AU,au
أذربيجان,,,,,,,x,,,,,,,,,,,,,,,,,AZ,az
جزر البهاما,,x,,,,,,,,,,,,,,,,,,,,,,BS,bs
البحرين,,,,,,,,,,,,,,,,,,,,x,,,,BH,bh
بنغلاديش,,,,,,,,,,,,,,,,,,,,,,,,BD,bd
بربادوس,,x,,,,,,,,,,,,,,,,,,,,,,BB,bb
بلجيكا,,,x,x,,,,,,,,x,,,,,,,,,,,,BE,be
بليز,,x,,,x,,,,,,,,,,,,,,,,,,,BZ,bz
روسيا البيضاء,,,,,,,x,,,,,,,,,,,,,,,,,BY,by
بنين,,,,x,,,,,,,,,,,,,,,,,,,,BJ,bj
برمودا,,x,,,,,,,,,,,,,,,,,,,,,,BM,bm
بوتان,,,,,,,,,,,,,,,,,,,,,,,,BT,bt
بوليفيا,,,,,x,,,,,,,,,,,,,,,,,,,BO,bo
البوسنة والهرسك,,,,,,,,x,,,,,,,,,,,,,,,,BA,ba
بوتسوانا,,x,,,,,,,,,,,,,,,,,,,,,,BW,bw
البرازيل,,,,,,,,,,,,,,x,,,,,,,,,,BR,br
جزر فيرجن البريطانية,,x,,,,,,,,,,,,,,,,,,,,,,VG,vg
بروناي,,x,,,,,,,,,,,,,,,,,,,,x,,BN,bn
بلغاريا,,,,,,,,,,,,,x,,,,,,x,,,,,BG,bg
